Timestamp,Email Address,Full Name,Score
6/25/2026 09:00:00,jordan.sample@example.com,Jordan Sample,50/50
6/25/2026 10:03:00,alex.sample@example.com,Alex Sample,45/50
6/25/2026 11:06:00,taylor.sample@example.com,Taylor Sample,41/50
6/25/2026 12:09:00,morgan.sample@example.com,Morgan Sample,40/50
6/25/2026 13:12:00,casey.sample@example.com,Casey Sample,30/50
6/25/2026 14:15:00,riley.sample@example.com,Riley Sample,50/50
6/25/2026 15:18:00,jamie.sample@example.com,Jamie Sample,45/50
6/25/2026 16:21:00,drew.sample@example.com,Drew Sample,41/50
6/25/2026 09:24:00,cameron.sample@example.com,Cameron Sample,40/50
6/25/2026 10:27:00,reese.sample@example.com,Reese Sample,30/50
6/25/2026 11:30:00,avery.sample@example.com,Avery Sample,50/50
6/25/2026 12:33:00,quinn.sample@example.com,Quinn Sample,45/50
6/25/2026 13:36:00,rowan.sample@example.com,Rowan Sample,41/50
6/25/2026 14:39:00,skyler.sample@example.com,Skyler Sample,40/50
6/25/2026 15:42:00,emerson.sample@example.com,Emerson Sample,30/50
6/25/2026 16:45:00,hayden.sample@example.com,Hayden Sample,50/50
6/25/2026 09:48:00,parker.sample@example.com,Parker Sample,45/50
6/25/2026 10:51:00,sawyer.sample@example.com,Sawyer Sample,41/50
6/25/2026 11:54:00,dakota.sample@example.com,Dakota Sample,40/50
6/25/2026 12:57:00,finley.sample@example.com,Finley Sample,30/50
6/25/2026 13:00:00,jordan.example@example.com,Jordan Example,50/50
6/25/2026 14:03:00,alex.example@example.com,Alex Example,45/50
6/25/2026 15:06:00,taylor.example@example.com,Taylor Example,41/50
6/25/2026 16:09:00,morgan.example@example.com,Morgan Example,40/50
6/25/2026 09:12:00,casey.example@example.com,Casey Example,30/50
6/25/2026 10:15:00,riley.example@example.com,Riley Example,50/50
6/25/2026 11:18:00,jamie.example@example.com,Jamie Example,45/50
6/25/2026 12:21:00,drew.example@example.com,Drew Example,41/50
6/25/2026 13:24:00,cameron.example@example.com,Cameron Example,40/50
6/25/2026 14:27:00,reese.example@example.com,Reese Example,30/50
6/25/2026 15:30:00,avery.example@example.com,Avery Example,50/50
